step,particle_id,name,x,y,z,vx,vy,vz
24,8,Neptune,4.39758e+12,8.20412e+11,-8.78984e+10,-1004.02,5156.69,116.964
25,0,Sun,-7.19394e+08,2.68095e+08,3.95916e+06,-7.1531,-16.0337,0.234271
25,1,Mercury,-6.63774e+10,6.30439e+08,5.73908e+09,6451.9,-42068.8,-1199.72
25,2,Venus,9.05403e+10,-5.60572e+10,-6.55935e+09,17921.1,29963.2,-243.129
25,3,Earth,-1.4575e+11,-3.69597e+10,-1.54199e+06,6625.59,-28823.6,1.15435
25,4,Mars,-1.02354e+11,2.08964e+11,7.09971e+09,-21519,-8890.14,295.951
25,5,Jupiter,4.99497e+11,-5.97998e+11,-1.13217e+10,9030.88,8854.18,-213.54
25,6,Saturn,1.3402e+12,4.67591e+11,-4.49562e+10,-3497.88,8484.79,118.121
25,7,Uranus,2.80949e+12,-1.11101e+12,-5.02657e+10,2438.54,5636.67,-80.9123
25,8,Neptune,4.3975e+12,8.20858e+11,-8.78883e+10,-1005.14,5156.48,116.986
26,0,Sun,-7.20011e+08,2.66709e+08,3.97938e+06,-7.1398,-16.0485,0.233848
26,1,Mercury,-6.57064e+10,-3.00493e+09,5.62551e+09,9104.19,-42008.7,-1430.26
26,2,Venus,9.20522e+10,-5.34459e+10,-6.57774e+09,17069.9,30472.2,-182.33
26,3,Earth,-1.45156e+11,-3.94445e+10,-1.44145e+06,7119.68,-28692.3,1.17276
26,4,Mars,-1.04209e+11,2.08188e+11,7.125e+09,-21425.2,-9080.7,289.448
26,5,Jupiter,5.00276e+11,-5.97231e+11,-1.13402e+10,9006.67,8883.09,-212.992
26,6,Saturn,1.3399e+12,4.68324e+11,-4.4946e+10,-3508.61,8481.04,118.481
26,7,Uranus,2.8097e+12,-1.11052e+12,-5.02727e+10,2436.2,5637.6,-80.8705
26,8,Neptune,4.39741e+12,8.21303e+11,-8.78782e+10,-1006.27,5156.27,117.009
27,0,Sun,-7.20627e+08,2.65322e+08,3.99956e+06,-7.12645,-16.0634,0.233425
27,1,Mercury,-6.48042e+10,-6.62867e+09,5.49194e+09,11799.1,-41795.4,-1662.2
27,2,Venus,9.349e+10,-5.07916e+10,-6.59086e+09,16204,30957.3,-121.314
27,3,Earth,-1.4452e+11,-4.19177e+10,-1.33934e+06,7611.04,-28552.7,1.19087
27,4,Mars,-1.06056e+11,2.07395e+11,7.14973e+09,-21329.8,-9270.24,282.933
27,5,Jupiter,5.01053e+11,-5.96463e+11,-1.13585e+10,8982.42,8911.98,-212.443
27,6,Saturn,1.33959e+12,4.69057e+11,-4.49358e+10,-3519.33,8477.29,118.84
27,7,Uranus,2.80991e+12,-1.11003e+12,-5.02797e+10,2433.86,5638.52,-80.8287
27,8,Neptune,4.39732e+12,8.21749e+11,-8.78681e+10,-1007.4,5156.06,117.031
28,0,Sun,-7.21243e+08,2.63933e+08,4.01971e+06,-7.11304,-16.0782,0.233
28,1,Mercury,-6.36675e+10,-1.02272e+10,5.33828e+09,14530.9,-41420.3,-1894.91
28,2,Venus,9.48523e+10,-4.80965e+10,-6.5987e+09,15324.2,31418.2,-60.1273
28,3,Earth,-1.43841e+11,-4.43784e+10,-1.23567e+06,8099.55,-28404.9,1.20866
28,4,Mars,-1.07895e+11,2.06586e+11,7.17389e+09,-21232.9,-9458.75,276.406
28,5,Jupiter,5.01828e+11,-5.95691e+11,-1.13769e+10,8958.13,8940.83,-211.893
28,6,Saturn,1.33929e+12,4.69789e+11,-4.49255e+10,-3530.05,8473.53,119.2
28,7,Uranus,2.81012e+12,-1.10955e+12,-5.02867e+10,2431.53,5639.44,-80.7869
28,8,Neptune,4.39724e+12,8.22194e+11,-8.7858e+10,-1008.52,5155.85,117.054
29,0,Sun,-7.21857e+08,2.62544e+08,4.03983e+06,-7.09957,-16.093,0.232575
29,1,Mercury,-6.22933e+10,-1.37861e+10,5.16449e+09,17292.8,-40874.7,-2127.68
29,2,Venus,9.6138e+10,-4.53625e+10,-6.60125e+09,14430.9,31854.4,1.18283
29,3,Earth,-1.4312e+11,-4.6826e+10,-1.13048e+06,8585.07,-28248.9,1.22615
29,4,Mars,-1.09725e+11,2.05761e+11,7.19749e+09,-21134.5,-9646.22,269.868
29,5,Jupiter,5.02601e+11,-5.94918e+11,-1.13952e+10,8933.79,8969.66,-211.342
29,6,Saturn,1.33898e+12,4.70521e+11,-4.49152e+10,-3540.78,8469.77,119.559
29,7,Uranus,2.81033e+12,-1.10906e+12,-5.02937e+10,2429.19,5640.36,-80.7451
29,8,Neptune,4.39715e+12,8.2264e+11,-8.78478e+10,-1009.65,5155.63,117.076
30,0,Sun,-7.22469e+08,2.61152e+08,4.0599e+06,-7.08604,-16.1078,0.232149
30,1,Mercury,-6.06793e+10,-1.72903e+10,4.97061e+09,20077,-40149.2,-2359.66
30,2,Venus,9.7346e+10,-4.2592e+10,-6.59849e+09,13525,32265.6,62.5691
30,3,Earth,-1.42358e+11,-4.92598e+10,-1.02379e+06,9067.48,-28084.8,1.24332
30,4,Mars,-1.11547e+11,2.04919e+11,7.22053e+09,-20984.2,-9925.58,260.041
30,5,Jupiter,5.03372e+11,-5.94142e+11,-1.14134e+10,8909.4,8998.46,-210.79
30,6,Saturn,1.33868e+12,4.71252e+11,-4.49048e+10,-3551.5,8466,119.919
30,7,Uranus,2.81054e+12,-1.10857e+12,-5.03006e+10,2426.85,5641.29,-80.7033
