step,particle_id,x,y,z,vx,vy,vz
2,84,-7.31008,29.2219,-13.8975,-0.0536703,0.0296708,-0.00613932
2,85,-20.4091,-26.6865,-23.0417,0.0801425,-0.0801971,-0.0440886
2,86,3.08554,-7.41289,-22.1635,0.0618229,0.00107378,0.139199
2,87,-9.19151,-7.40529,27.5826,-0.0364009,-0.0612683,0.053667
2,88,-20.5949,-19.1499,-28.6051,0.0060694,-0.0423098,-0.0450796
2,89,-6.51383,-6.09193,26.4982,-0.027265,0.0248977,-0.0315833
2,90,21.7175,21.3728,-12.6258,-0.12041,0.00668289,-0.0479641
2,91,-8.50995,17.7722,29.4458,0.0765677,-0.0249102,0.00815148
2,92,6.41831,-15.455,20.3938,0.0853448,0.126451,0.0293369
2,93,-5.38353,17.4136,28.0375,0.101572,0.0198838,0.0290847
2,94,-25.5436,14.9305,-20.415,0.0552168,0.0591496,-0.0317412
2,95,19.8019,5.83635,13.5721,-0.122277,0.0347665,-0.129748
2,96,0.0433439,-0.315779,23.005,0.0387143,-0.02464,-0.0510255
2,97,-5.43629,28.3898,-6.27849,0.0791868,-0.0217973,0.0269152
2,98,10.4338,3.37103,-18.4991,-0.041946,-0.0163702,0.0495809
2,99,2.78918,22.789,18.4906,0.0202442,0.0104477,-0.0434294
2,100,11.7851,-16.8963,21.0187,-0.05283,-0.0652841,-0.100637
3,0,0,0,0,0,-10,0
3,1,13.4791,-19.103,-20.6047,0.0305149,0.126947,-0.0503969
3,2,-21.2252,-25.7023,-14.839,-0.0342649,-0.0508771,0.0310248
3,3,-23.9047,10.0272,19.4967,-0.0371858,-0.0731544,0.0517165
3,4,7.98014,-1.8331,-9.24119,-0.226179,0.013764,0.320213
3,5,22.4186,-25.3732,18.063,-0.00460944,0.0479786,-0.015421
3,6,-15.5902,12.7158,-19.7442,0.119505,-0.0557347,0.0262623
3,7,-7.5449,-0.980027,8.65157,0.213286,-0.0542236,-0.354734
3,8,0.777883,-8.76891,-24.3199,-0.0355764,0.101624,0.0355429
3,9,-23.0028,-19.0304,-26.5253,-0.038916,-0.0489549,0.036729
3,10,7.02217,-19.2767,-10.4991,-0.0519996,0.154073,0.149302
3,11,0.224452,-11.7122,6.20095,0.0264811,0.323403,-0.246022
3,12,29.7085,10.4125,-18.2139,-0.0630309,0.0123378,0.0773454
3,13,15.1062,2.9037,-15.4787,-0.142817,0.015746,0.0406762
3,14,22.4553,-6.37633,26.7014,-0.0589925,0.069087,-0.0263714
3,15,-14.7329,28.3757,15.5513,0.0465087,-0.123876,-0.0868895
3,16,22.4717,8.79437,-17.4094,-0.0532554,0.0663775,0.0543578
3,17,-18.1989,-5.56989,0.150766,0.131313,-0.042803,0.0419469
3,18,0.217769,2.50522,-0.590936,-0.721161,-7.83971,1.93432
3,19,-18.5605,-18.0445,-21.6425,0.126897,0.113944,0.00306956
3,20,-28.2647,14.6381,21.5757,0.0376372,0.0587837,-0.00806698
3,21,-26.3595,-17.37,-8.0954,-0.0485849,0.0734927,0.101858
3,22,-25.2619,-6.59493,7.04343,0.114526,0.114406,-0.0154817
3,23,-26.3628,-29.348,-3.46347,-0.0188321,0.0822942,0.0441284
3,24,19.6667,26.4679,24.0134,0.077874,-0.103789,0.0221696
3,25,-23.7866,2.06806,11.6944,-0.0117569,0.0389617,-0.0594563
3,26,21.8658,26.7812,21.6539,-0.067153,0.0528206,-0.110319
3,27,-9.95741,-16.549,8.13669,0.083141,0.0784969,-0.113459
3,28,11.0427,-11.7042,-22.7753,0.0513059,0.131356,0.101662
3,29,-21.5158,-3.46807,-15.7513,0.107095,-0.0447722,-0.0373909
3,30,-3.90866,-17.9373,-12.8345,0.040024,0.0127482,0.0725522
3,31,1.88373,-21.7511,-18.055,-0.0581233,-0.01714,-0.0135736
3,32,25.0975,-2.2425,20.0949,0.0461985,-0.0504772,-0.113112
3,33,24.5597,3.0454,4.90537,-0.00940608,-0.0407647,0.0180256
3,34,-14.6936,29.5097,11.6477,0.0620113,-0.0571724,-0.0288369
3,35,4.85841,17.0646,-22.7669,-0.0413632,-0.0963346,0.056454
3,36,9.8542,-9.04268,-23.3635,-0.070239,-0.0620136,0.0429317
3,37,9.40433,-1.07344,-4.26203,-0.461122,0.0913523,0.257922
3,38,20.4941,-11.5901,6.78066,-0.170692,0.0880065,0.0296759
3,39,16.8767,24.2625,-12.6593,-0.107317,0.0520502,0.0181792
3,40,-8.9185,29.9213,6.65665,0.0264791,-0.0258968,-0.111774
3,41,-4.44027,-10.216,13.1337,-0.0056875,0.193518,-0.0637253
3,42,-8.22013,14.327,2.05544,0.0402961,-0.252274,-0.011127
3,43,21.4474,-29.8177,22.2467,-0.110558,0.0453988,-0.0590704
3,44,-8.73763,-15.4622,9.13839,0.0835696,0.0700451,-0.0318783
3,45,-28.6017,-7.15499,-9.28992,0.0170002,0.064936,0.113991
3,46,28.3201,-18.5224,27.311,-0.0129516,-0.0520105,-0.0952477
3,47,24.1324,28.3528,23.896,0.0528619,-0.0105385,0.0642782
3,48,1.03258,2.16537,-2.3428,-1.5789,-3.34638,3.56171
3,49,-2.48407,10.0189,23.2816,-0.00396278,0.0186116,-0.134431
3,50,-4.49779,1.47602,8.72483,0.355291,-0.143247,-0.527734
3,51,0.11657,14.8495,-18.3173,-0.0170698,-0.10859,0.0610451
3,52,-25.397,8.25137,-4.37124,0.0383647,-0.015706,-0.0340963
